jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,element_code,year,state,state_abbrev
1351,1431,875,423,200,36,15,40,40,381,687,966,25,2015,Iowa,IA
1403,1020,707,450,216,14,11,16,52,308,594,1298,25,2016,Iowa,IA
1255,846,850,414,239,22,7,53,62,362,860,1258,25,2017,Iowa,IA
1454,1231,925,765,85,13,11,19,72,510,1041,1133,25,2018,Iowa,IA
1442,1372,1043,474,279,36,4,34,45,548,981,1090,25,2019,Iowa,IA
1286,1120,761,548,261,15,2,18,137,580,683,1172,25,2020,Iowa,IA
1286,1471,712,460,228,11,10,13,62,304,777,1018,25,2021,Iowa,IA
1568,1224,861,634,175,20,7,18,85,457,825,1335,25,2022,Iowa,IA
1247,1069,943,466,155,22,14,15,54,364,782,937,25,2023,Iowa,IA
1378,782,745,429,163,17,14,21,62,280,725,1132,25,2024,Iowa,IA
1432,1229,695,452,212,16,4,25,59,271,759,1292,25,2025,Iowa,IA
1141,827,571,458,172,16,0,9,37,244,721,994,25,1997,Kansas,KS
1002,701,821,374,45,10,0,3,12,213,504,920,25,1998,Kansas,KS
1070,621,677,315,118,21,0,4,88,261,410,873,25,1999,Kansas,KS
987,664,558,322,67,19,1,0,24,183,813,1318,25,2000,Kansas,KS
1070,949,745,196,81,15,0,1,63,268,434,844,25,2001,Kansas,KS
956,794,765,258,145,4,0,1,26,432,670,906,25,2002,Kansas,KS
1068,932,645,261,125,27,0,0,100,235,644,909,25,2003,Kansas,KS
1086,935,506,289,68,22,7,19,31,223,579,906,25,2004,Kansas,KS
1089,716,625,277,105,7,0,3,21,234,539,1073,25,2005,Kansas,KS
729,847,586,172,85,6,0,0,97,304,576,861,25,2006,Kansas,KS
1117,966,390,399,74,15,1,0,31,200,611,1085,25,2007,Kansas,KS
1079,936,678,414,121,10,1,9,76,297,609,1083,25,2008,Kansas,KS
1080,703,625,368,120,6,9,14,90,469,487,1164,25,2009,Kansas,KS
1216,994,636,200,128,2,0,0,34,202,603,1026,25,2010,Kansas,KS
1195,971,628,282,126,2,0,0,80,234,611,931,25,2011,Kansas,KS
883,749,299,181,37,1,0,5,55,321,541,901,25,2012,Kansas,KS
982,875,777,471,126,9,4,6,23,295,699,1118,25,2013,Kansas,KS
1126,1048,756,322,88,11,7,1,55,206,798,916,25,2014,Kansas,KS
1025,989,578,251,136,5,1,10,15,205,497,806,25,2015,Kansas,KS
1043,668,465,240,142,1,0,4,27,151,421,1061,25,2016,Kansas,KS
963,598,496,269,127,8,0,17,29,222,583,951,25,2017,Kansas,KS
1104,910,596,513,20,0,0,6,34,323,809,924,25,2018,Kansas,KS
1050,1012,765,277,152,14,0,6,10,399,732,860,25,2019,Kansas,KS
965,836,522,355,152,1,0,8,74,369,489,886,25,2020,Kansas,KS
943,1150,499,351,146,2,1,1,17,188,535,699,25,2021,Kansas,KS
1082,921,624,320,92,4,0,1,24,240,683,1049,25,2022,Kansas,KS
942,793,673,289,78,10,1,1,19,216,583,768,25,2023,Kansas,KS
1207,575,526,224,80,2,1,4,30,132,521,838,25,2024,Kansas,KS
1239,985,440,260,130,8,0,9,34,141,503,850,25,2025,Kansas,KS
1017,652,534,446,217,18,0,4,55,287,685,883,25,1997,Kentucky,KY
759,638,584,326,61,4,0,0,11,213,505,756,25,1998,Kentucky,KY
862,668,730,222,100,3,0,0,43,275,417,824,25,1999,Kentucky,KY
978,616,484,341,71,4,0,0,57,203,629,1196,25,2000,Kentucky,KY
1037,671,737,182,82,12,0,0,67,289,418,724,25,2001,Kentucky,KY
840,742,615,215,150,1,0,0,16,262,643,887,25,2002,Kentucky,KY
1148,892,522,237,114,27,0,0,70,275,441,871,25,2003,Kentucky,KY
1019,792,508,289,45,8,0,11,37,198,442,889,25,2004,Kentucky,KY
816,683,708,258,159,1,0,0,18,246,507,990,25,2005,Kentucky,KY
693,807,601,178,141,12,0,0,89,346,534,730,25,2006,Kentucky,KY
842,999,397,354,62,3,0,0,15,144,574,758,25,2007,Kentucky,KY
990,781,627,299,157,3,0,0,19,274,655,884,25,2008,Kentucky,KY
1091,736,538,286,103,3,7,2,35,360,479,912,25,2009,Kentucky,KY
1097,973,582,184,67,0,0,0,27,237,540,1120,25,2010,Kentucky,KY
1089,734,542,211,113,3,0,0,60,308,452,745,25,2011,Kentucky,KY
823,672,280,251,43,7,0,0,54,315,659,686,25,2012,Kentucky,KY
883,796,799,305,99,6,0,0,33,252,667,858,25,2013,Kentucky,KY
1194,903,735,244,85,3,3,0,44,251,760,795,25,2014,Kentucky,KY
1023,1092,646,248,65,3,0,5,24,245,430,522,25,2015,Kentucky,KY
1038,734,435,248,135,1,0,0,14,137,458,875,25,2016,Kentucky,KY
760,538,544,144,101,10,0,3,44,206,539,913,25,2017,Kentucky,KY
1088,580,660,431,24,0,0,0,11,218,694,760,25,2018,Kentucky,KY
937,641,688,231,53,9,0,0,6,193,717,715,25,2019,Kentucky,KY
779,720,448,373,147,7,0,0,42,246,455,861,25,2020,Kentucky,KY
915,923,476,323,144,4,0,0,35,143,650,552,25,2021,Kentucky,KY
1053,752,508,329,64,3,0,0,44,320,550,851,25,2022,Kentucky,KY
713,548,564,261,116,16,0,0,29,208,528,698,25,2023,Kentucky,KY
999,561,470,197,54,1,0,0,20,196,396,773,25,2024,Kentucky,KY
1138,739,460,211,112,0,0,0,25,209,535,844,25,2025,Kentucky,KY
462,313,122,112,3,0,0,0,0,49,291,469,25,1997,Louisiana,LA
375,331,240,71,0,0,0,0,0,24,144,325,25,1998,Louisiana,LA
351,223,217,12,1,0,0,0,0,53,186,415,25,1999,Louisiana,LA
386,222,124,64,0,0,0,0,0,47,277,605,25,2000,Louisiana,LA
575,239,283,17,0,0,0,0,1,85,134,318,25,2001,Louisiana,LA
419,420,221,18,1,0,0,0,0,28,265,421,25,2002,Louisiana,LA
580,371,205,43,0,0,0,0,0,43,140,467,25,2003,Louisiana,LA
454,418,129,53,0,0,0,0,0,6,135,452,25,2004,Louisiana,LA
349,268,234,58,2,0,0,0,0,48,156,461,25,2005,Louisiana,LA
319,364,149,12,0,0,0,0,0,40,222,380,25,2006,Louisiana,LA
460,388,134,78,0,0,0,0,0,30,182,285,25,2007,Louisiana,LA
496,273,193,43,1,0,0,0,1,65,243,354,25,2008,Louisiana,LA
432,269,169,56,1,0,0,0,0,51,216,481,25,2009,Louisiana,LA
586,540,307,34,0,0,0,0,0,39,194,509,25,2010,Louisiana,LA
543,346,144,14,1,0,0,0,0,72,180,385,25,2011,Louisiana,LA
324,249,69,19,0,0,0,0,0,65,244,306,25,2012,Louisiana,LA
386,295,302,67,2,0,0,0,0,34,283,438,25,2013,Louisiana,LA
652,382,302,55,2,0,0,0,0,32,339,324,25,2014,Louisiana,LA
526,457,163,16,1,0,0,0,0,26,123,204,25,2015,Louisiana,LA
487,286,120,29,1,0,0,0,0,16,130,298,25,2016,Louisiana,LA
289,156,110,20,3,0,0,0,0,30,148,410,25,2017,Louisiana,LA
615,157,151,97,0,0,0,0,0,18,284,359,25,2018,Louisiana,LA
457,208,219,58,0,0,0,0,0,29,293,320,25,2019,Louisiana,LA
355,290,65,40,2,0,0,0,0,36,132,416,25,2020,Louisiana,LA
440,445,142,65,2,0,0,0,0,15,250,151,25,2021,Louisiana,LA
508,352,205,34,0,0,0,0,0,60,206,321,25,2022,Louisiana,LA
306,201,120,45,0,0,0,0,0,27,210,351,25,2023,Louisiana,LA
522,223,152,22,0,0,0,0,0,18,73,298,25,2024,Louisiana,LA
569,245,130,12,0,0,0,0,0,17,141,331,25,2025,Louisiana,LA
1447,1173,1189,772,500,105,29,65,253,611,936,1244,25,1997,Maine,ME
1329,1038,998,637,253,161,26,39,195,547,848,1093,25,1998,Maine,ME
1421,1106,984,653,291,42,13,53,92,623,741,1122,25,1999,Maine,ME
1447,1191,919,707,432,126,71,71,260,561,813,1349,25,2000,Maine,ME
1472,1264,1159,735,313,57,53,21,177,499,754,1044,25,2001,Maine,ME
1243,1140,1060,678,443,160,31,23,138,643,933,1257,25,2002,Maine,ME
1614,1361,1156,802,435,103,27,31,162,567,807,1185,25,2003,Maine,ME
1685,1208,1038,700,362,185,51,47,211,536,866,1281,25,2004,Maine,ME
1538,1181,1142,652,522,73,24,34,140,496,795,1246,25,2005,Maine,ME
1187,1180,1026,622,333,74,9,86,212,552,705,1042,25,2006,Maine,ME
1355,1382,1110,767,370,105,43,57,180,414,903,1344,25,2007,Maine,ME
1320,1188,1162,642,398,100,14,78,214,577,838,1249,25,2008,Maine,ME
1624,1200,1105,623,370,169,77,30,253,657,722,1228,25,2009,Maine,ME
1300,1053,850,540,275,105,9,38,151,538,829,1197,25,2010,Maine,ME
1429,1267,1074,687,363,131,14,47,145,478,721,1098,25,2011,Maine,ME
1311,1104,855,612,310,133,15,21,225,458,883,1146,25,2012,Maine,ME
1391,1153,1001,701,369,96,11,59,205,486,900,1370,25,2013,Maine,ME
1450,1269,1316,713,377,96,17,55,206,445,918,1092,25,2014,Maine,ME
1527,1573,1253,740,259,194,42,23,88,597,769,958,25,2015,Maine,ME
1275,1094,987,737,345,120,17,24,136,501,768,1264,25,2016,Maine,ME
1218,1135,1216,620,409,100,35,62,95,336,881,1392,25,2017,Maine,ME
1428,1074,1039,767,307,143,11,15,164,630,999,1258,25,2018,Maine,ME
1429,1240,1146,704,476,137,11,48,225,513,968,1200,25,2019,Maine,ME
1250,1131,973,748,384,76,10,32,186,553,761,1080,25,2020,Maine,ME
1238,1195,1011,592,337,34,56,17,134,398,808,1139,25,2021,Maine,ME
1532,1161,1010,654,294,124,12,18,185,442,736,1070,25,2022,Maine,ME
1136,1180,985,634,370,147,7,62,103,358,919,1025,25,2023,Maine,ME
1265,1063,926,669,284,54,4,38,146,480,711,1206,25,2024,Maine,ME
1406,1281,990,667,352,88,12,44,159,449,857,1364,25,2025,Maine,ME
990,697,626,426,192,10,0,1,48,285,660,845,25,1997,Maryland,MD
767,683,622,293,68,5,0,0,6,258,542,717,25,1998,Maryland,MD
911,769,736,342,103,1,0,0,34,329,430,807,25,1999,Maryland,MD
1006,741,510,362,79,0,1,1,56,250,641,1110,25,2000,Maryland,MD
1025,761,759,309,112,1,1,0,54,273,426,696,25,2001,Maryland,MD
807,707,612,253,128,0,0,0,18,288,612,958,25,2002,Maryland,MD
1130,964,647,368,177,11,0,0,31,328,430,885,25,2003,Maryland,MD
1159,858,600,313,25,5,0,0,21,297,498,854,25,2004,Maryland,MD
973,794,780,298,198,0,0,0,7,237,499,974,25,2005,Maryland,MD
742,810,625,255,122,1,0,0,61,314,480,691,25,2006,Maryland,MD
826,1028,626,413,78,1,0,0,15,115,581,846,25,2007,Maryland,MD
905,781,629,283,165,0,0,1,21,310,609,834,25,2008,Maryland,MD
1115,776,679,304,104,5,1,0,44,309,465,926,25,2009,Maryland,MD
1007,947,525,227,66,0,0,0,13,237,561,1041,25,2010,Maryland,MD
1098,774,658,250,64,0,0,0,21,291,464,724,25,2011,Maryland,MD
859,682,386,319,40,1,0,0,29,247,670,713,25,2012,Maryland,MD
892,854,775,311,115,1,0,1,49,229,654,825,25,2013,Maryland,MD
1166,905,838,362,91,0,0,4,28,227,669,789,25,2014,Maryland,MD
1074,1112,803,320,37,1,0,0,9,302,432,519,25,2015,Maryland,MD
1029,789,484,350,151,0,0,0,6,198,519,837,25,2016,Maryland,MD
829,596,684,178,131,1,0,1,27,154,582,921,25,2017,Maryland,MD
1046,667,793,423,31,3,0,0,5,212,662,805,25,2018,Maryland,MD
971,779,707,221,49,1,0,0,7,181,674,819,25,2019,Maryland,MD
805,673,488,399,158,1,0,0,38,210,420,829,25,2020,Maryland,MD
913,860,546,297,123,1,0,0,16,122,620,661,25,2021,Maryland,MD
1056,740,566,352,83,0,0,0,24,327,486,883,25,2022,Maryland,MD
711,618,612,214,151,13,0,0,18,196,591,703,25,2023,Maryland,MD
882,690,519,253,62,0,0,0,25,231,445,856,25,2024,Maryland,MD
1105,795,481,251,85,0,0,3,19,258,563,957,25,2025,Maryland,MD
1191,882,939,628,355,48,4,22,126,484,790,1024,25,1997,Massachusetts,MA
1020,854,812,522,182,64,1,8,81,411,715,886,25,1998,Massachusetts,MA
1168,937,855,537,236,15,0,15,60,469,582,962,25,1999,Massachusetts,MA
1246,946,735,578,268,47,20,28,137,436,722,1198,25,2000,Massachusetts,MA
1217,1011,977,560,222,18,19,0,98,379,593,867,25,2001,Massachusetts,MA
981,890,837,481,306,67,0,3,57,487,753,1097,25,2002,Massachusetts,MA
1382,1155,922,655,335,68,0,4,88,480,643,1000,25,2003,Massachusetts,MA
1446,1017,865,531,213,68,9,12,94,441,711,1040,25,2004,Massachusetts,MA
1261,1012,1019,501,417,19,0,0,51,378,652,1105,25,2005,Massachusetts,MA
961,1004,895,507,273,32,0,17,136,440,553,839,25,2006,Massachusetts,MA
1059,1158,927,637,211,43,3,10,77,271,763,1105,25,2007,Massachusetts,MA
1107,988,914,510,322,21,0,26,95,468,730,1001,25,2008,Massachusetts,MA
1361,988,903,488,243,93,17,4,149,488,565,1081,25,2009,Massachusetts,MA
1180,972,712,419,157,18,0,8,54,396,694,1112,25,2010,Massachusetts,MA
1285,1072,888,505,213,48,0,7,52,359,560,872,25,2011,Massachusetts,MA
1032,853,636,464,164,52,0,4,101,337,749,904,25,2012,Massachusetts,MA
1125,995,901,544,225,24,0,18,121,387,756,1072,25,2013,Massachusetts,MA
1259,1109,1077,559,239,40,0,26,92,341,758,898,25,2014,Massachusetts,MA
1294,1377,1076,566,132,73,0,4,34,435,585,692,25,2015,Massachusetts,MA
1097,928,727,587,242,35,0,0,55,369,654,1017,25,2016,Massachusetts,MA
1005,869,1008,432,294,36,3,18,48,220,710,1153,25,2017,Massachusetts,MA
1217,829,906,653,153,51,0,0,48,437,781,986,25,2018,Massachusetts,MA
1170,993,943,500,301,43,0,7,97,367,794,1030,25,2019,Massachusetts,MA
989,881,744,644,270,19,0,3,83,367,579,956,25,2020,Massachusetts,MA
1084,1015,800,506,226,10,4,0,50,254,696,870,25,2021,Massachusetts,MA
1243,953,801,516,174,41,0,0,91,361,579,949,25,2022,Massachusetts,MA
891,895,821,443,262,60,0,16,54,264,760,818,25,2023,Massachusetts,MA
1056,883,736,522,185,11,0,11,81,366,583,1024,25,2024,Massachusetts,MA
1216,1039,759,495,211,16,0,23,83,365,738,1136,25,2025,Massachusetts,MA
1377,1044,954,658,480,48,17,72,158,483,888,1069,25,1997,Michigan,MI
1108,863,888,515,146,56,11,16,71,405,700,987,25,1998,Michigan,MI
1367,965,1016,500,204,32,2,46,118,497,659,1099,25,1999,Michigan,MI
1325,987,724,593,220,56,31,34,158,368,808,1473,25,2000,Michigan,MI
1243,1074,1011,486,218,57,12,13,178,455,570,955,25,2001,Michigan,MI
1063,965,1024,532,402,36,1,19,61,538,849,1167,25,2002,Michigan,MI
1434,1249,982,591,335,91,16,17,143,504,711,1059,25,2003,Michigan,MI
1468,1119,831,506,251,82,22,69,75,434,735,1182,25,2004,Michigan,MI
1352,1057,1070,484,353,14,4,14,61,396,729,1259,25,2005,Michigan,MI
987,1080,922,455,246,57,2,21,177,554,719,939,25,2006,Michigan,MI
1174,1335,828,608,201,29,16,15,85,265,823,1175,25,2007,Michigan,MI
1210,1208,1053,472,351,41,12,31,102,511,828,1254,25,2008,Michigan,MI
1539,1084,908,551,278,76,53,37,114,545,660,1184,25,2009,Michigan,MI
1305,1116,791,403,197,38,2,6,132,394,757,1260,25,2010,Michigan,MI
1407,1165,1019,601,246,46,1,20,144,426,661,991,25,2011,Michigan,MI
1138,957,523,548,167,32,1,25,141,462,804,976,25,2012,Michigan,MI
1201,1146,1050,644,199,55,11,32,127,422,859,1263,25,2013,Michigan,MI
1549,1367,1232,579,252,39,40,30,146,462,938,1036,25,2014,Michigan,MI
1409,1502,1038,551,186,68,17,29,50,416,633,814,25,2015,Michigan,MI
1237,1019,777,620,251,43,4,6,61,348,616,1174,25,2016,Michigan,MI
1127,858,951,417,295,38,11,41,79,319,820,1269,25,2017,Michigan,MI
1310,1039,1004,773,144,39,4,11,69,485,941,1035,25,2018,Michigan,MI
1360,1122,1038,561,310,74,3,27,65,443,948,1012,25,2019,Michigan,MI
1073,1053,815,640,298,33,1,16,147,520,636,1044,25,2020,Michigan,MI
1164,1246,755,503,284,21,10,6,83,258,801,948,25,2021,Michigan,MI
1432,1140,898,639,191,40,6,17,96,448,717,1084,25,2022,Michigan,MI
1034,955,922,498,268,56,8,38,88,380,787,833,25,2023,Michigan,MI
1194,838,772,449,169,28,10,19,61,341,622,1057,25,2024,Michigan,MI
1347,1144,766,528,298,27,3,27,86,351,801,1231,25,2025,Michigan,MI
1812,1347,1200,743,462,58,38,82,167,549,1168,1250,25,1997,Minnesota,MN
1528,986,1116,528,179,125,27,30,112,505,932,1344,25,1998,Minnesota,MN
1731,1133,1036,587,262,91,12,55,237,608,793,1323,25,1999,Minnesota,MN
1645,1151,856,657,266,138,32,38,239,483,1061,1881,25,2000,Minnesota,MN
1489,1587,1235,616,274,81,18,23,232,603,680,1262,25,2001,Minnesota,MN
1387,1119,1364,702,448,57,10,53,151,805,1069,1313,25,2002,Minnesota,MN
1653,1486,1166,633,340,104,28,19,205,540,1091,1336,25,2003,Minnesota,MN
1787,1309,1012,602,404,150,49,137,113,541,898,1445,25,2004,Minnesota,MN
1708,1194,1166,506,388,45,15,49,125,508,945,1478,25,2005,Minnesota,MN
1227,1401,1055,470,265,72,6,36,259,684,950,1226,25,2006,Minnesota,MN
1513,1561,986,675,216,49,17,48,173,448,999,1613,25,2007,Minnesota,MN
1709,1510,1250,733,400,108,30,49,188,566,993,1736,25,2008,Minnesota,MN
1915,1343,1153,653,331,121,86,84,115,754,783,1582,25,2009,Minnesota,MN
1708,1404,869,436,282,96,16,17,279,475,991,1618,25,2010,Minnesota,MN
1793,1403,1238,680,348,106,7,34,223,447,917,1276,25,2011,Minnesota,MN
1408,1137,682,563,225,57,1,49,220,649,968,1428,25,2012,Minnesota,MN
1611,1407,1330,886,365,103,26,36,133,597,1088,1790,25,2013,Minnesota,MN
1909,1682,1368,780,328,79,49,43,200,577,1276,1336,25,2014,Minnesota,MN
1548,1618,1042,586,329,87,24,63,89,516,805,1182,25,2015,Minnesota,MN
1592,1230,870,638,282,76,24,32,144,493,727,1486,25,2016,Minnesota,MN
1509,1098,1100,584,352,84,27,94,135,528,1082,1552,25,2017,Minnesota,MN
1655,1526,1130,959,169,60,22,38,168,719,1224,1338,25,2018,Minnesota,MN
1743,1604,1273,683,439,92,17,67,153,668,1143,1444,25,2019,Minnesota,MN
1514,1374,1009,729,342,48,12,33,247,779,887,1336,25,2020,Minnesota,MN
1428,1600,885,652,312,26,16,24,135,403,954,1391,25,2021,Minnesota,MN
1861,1580,1156,841,291,65,23,44,156,536,998,1572,25,2022,Minnesota,MN
1475,1370,1283,744,222,37,36,35,94,507,943,1063,25,2023,Minnesota,MN
1475,985,1005,598,266,86,22,44,76,402,896,1360,25,2024,Minnesota,MN
1662,1466,943,655,277,79,19,44,116,421,910,1551,25,2025,Minnesota,MN
614,401,200,187,29,0,0,0,2,112,432,612,25,1997,Mississippi,MS
515,426,330,123,4,0,0,0,0,57,228,456,25,1998,Mississippi,MS
485,339,359,39,13,0,0,0,4,108,260,537,25,1999,Mississippi,MS
550,342,212,139,3,0,0,0,2,88,382,806,25,2000,Mississippi,MS
737,356,412,52,9,0,0,0,6,160,213,441,25,2001,Mississippi,MS
549,527,328,53,15,0,0,0,0,65,396,565,25,2002,Mississippi,MS
749,503,288,87,7,0,0,0,6,100,216,615,25,2003,Mississippi,MS
611,541,217,122,5,0,0,0,4,34,210,595,25,2004,Mississippi,MS
474,380,354,113,23,0,0,0,0,105,261,634,25,2005,Mississippi,MS
437,521,270,34,10,0,0,0,7,119,346,493,25,2006,Mississippi,MS
582,524,186,145,7,0,0,0,0,68,303,408,25,2007,Mississippi,MS
660,418,293,108,13,0,0,0,4,131,385,508,25,2008,Mississippi,MS
611,408,259,110,10,0,0,0,2,130,318,629,25,2009,Mississippi,MS
748,670,401,76,3,0,0,0,1,91,285,696,25,2010,Mississippi,MS
700,428,255,51,15,0,0,0,8,157,277,518,25,2011,Mississippi,MS
456,365,116,65,3,0,0,0,4,140,388,420,25,2012,Mississippi,MS
501,444,451,125,25,0,0,0,1,85,411,559,25,2013,Mississippi,MS
812,515,418,112,13,0,0,0,2,71,478,456,25,2014,Mississippi,MS
652,633,258,51,8,0,0,0,2,71,202,288,25,2015,Mississippi,MS
655,403,203,74,16,0,0,0,0,39,224,477,25,2016,Mississippi,MS
403,255,208,46,16,0,0,0,4,76,260,550,25,2017,Mississippi,MS
761,258,275,194,1,0,0,0,0,61,428,491,25,2018,Mississippi,MS
582,297,333,107,2,0,0,0,0,70,437,448,25,2019,Mississippi,MS
474,394,136,110,17,0,0,0,3,80,219,550,25,2020,Mississippi,MS
573,568,208,130,20,0,0,0,3,49,367,244,25,2021,Mississippi,MS
644,451,270,92,3,0,0,0,2,128,303,462,25,2022,Mississippi,MS
416,285,217,93,7,0,0,0,1,68,292,464,25,2023,Mississippi,MS
680,316,242,65,2,0,0,0,2,56,136,453,25,2024,Mississippi,MS
735,359,204,35,8,0,0,0,1,54,225,478,25,2025,Mississippi,MS
1235,803,590,466,210,16,0,11,49,276,731,978,25,1997,Missouri,MO
950,676,765,351,52,11,0,1,15,238,517,906,25,1998,Missouri,MO
1109,654,720,271,127,12,0,7,77,279,412,900,25,1999,Missouri,MO
1019,658,549,336,74,19,3,0,46,202,774,1392,25,2000,Missouri,MO
1129,896,798,182,93,16,0,4,79,310,425,840,25,2001,Missouri,MO
941,791,783,269,174,5,0,4,29,390,709,921,25,2002,Missouri,MO
1189,972,656,279,135,32,0,0,101,268,587,908,25,2003,Missouri,MO
1128,916,552,285,79,22,8,29,48,251,538,957,25,2004,Missouri,MO
1025,717,691,265,138,4,0,2,22,280,553,1085,25,2005,Missouri,MO
761,880,623,179,115,9,0,1,97,367,562,852,25,2006,Missouri,MO
1056,1035,426,394,59,9,3,0,31,198,613,1021,25,2007,Missouri,MO
1086,986,704,396,156,9,1,12,67,310,651,1084,25,2008,Missouri,MO
1190,771,601,371,125,6,13,16,76,455,471,1088,25,2009,Missouri,MO
1263,1058,641,179,120,0,0,0,48,239,573,1123,25,2010,Missouri,MO
1228,921,644,281,143,5,0,1,99,262,541,873,25,2011,Missouri,MO
918,724,290,224,47,4,0,4,72,349,610,837,25,2012,Missouri,MO
997,885,854,411,132,11,5,9,28,307,714,1108,25,2013,Missouri,MO
1246,1122,815,325,104,8,13,5,70,262,831,899,25,2014,Missouri,MO
1075,1118,662,248,110,7,1,13,21,257,495,721,25,2015,Missouri,MO
1089,751,485,264,144,0,0,4,22,159,437,1044,25,2016,Missouri,MO
952,586,552,230,124,9,0,20,30,222,588,978,25,2017,Missouri,MO
1169,855,683,526,22,0,0,2,26,296,844,897,25,2018,Missouri,MO
1092,940,771,277,121,12,0,8,10,362,760,829,25,2019,Missouri,MO
978,857,542,377,160,3,0,10,69,378,477,914,25,2020,Missouri,MO
1000,1169,501,339,154,4,1,1,23,190,598,665,25,2021,Missouri,MO
1176,937,614,383,94,4,0,4,41,310,636,1017,25,2022,Missouri,MO
893,734,684,290,91,8,1,5,31,229,584,730,25,2023,Missouri,MO
1182,580,505,232,68,1,4,6,37,173,508,869,25,2024,Missouri,MO
1212,949,461,264,137,5,0,9,26,158,534,919,25,2025,Missouri,MO
1477,1099,1027,905,468,252,140,124,286,713,1037,1246,25,1997,Montana,MT
1347,1003,1078,694,445,383,56,75,204,687,959,1345,25,1998,Montana,MT
1243,995,952,801,565,320,147,92,429,648,796,1124,25,1999,Montana,MT
1287,1032,943,673,487,273,76,89,381,704,1272,1434,25,2000,Montana,MT
1248,1285,970,764,421,281,96,59,245,718,874,1309,25,2001,Montana,MT
1291,1098,1318,836,584,253,57,197,336,881,964,1174,25,2002,Montana,MT
1174,1183,1052,686,515,262,40,52,345,579,1209,1230,25,2003,Montana,MT
1394,1090,850,657,563,311,95,152,393,697,963,1147,25,2004,Montana,MT
1363,1008,956,726,531,315,81,134,355,637,989,1360,25,2005,Montana,MT
1064,1163,1060,656,436,196,38,119,344,765,1039,1226,25,2006,Montana,MT
1347,1124,827,737,456,221,18,107,352,675,1013,1322,25,2007,Montana,MT
1423,1075,1075,871,530,313,93,113,384,689,877,1516,25,2008,Montana,MT
1293,1065,1132,785,487,311,116,134,218,913,933,1561,25,2009,Montana,MT
1283,1129,894,751,638,305,133,151,360,570,1147,1351,25,2010,Montana,MT
1335,1304,1064,864,602,338,106,82,255,636,1065,1217,25,2011,Montana,MT
1220,1108,849,642,539,252,50,83,261,750,954,1300,25,2012,Montana,MT
1299,1047,1028,850,462,248,60,71,272,781,1018,1433,25,2013,Montana,MT
1206,1363,1065,742,472,319,62,119,335,548,1161,1221,25,2014,Montana,MT
1196,996,804,704,503,130,99,94,296,538,1077,1271,25,2015,Montana,MT
1236,889,894,608,485,180,110,125,367,662,799,1535,25,2016,Montana,MT
1512,1094,887,730,447,225,34,92,348,733,1016,1330,25,2017,Montana,MT
1237,1384,1081,804,356,267,82,122,387,733,1039,1247,25,2018,Montana,MT
1222,1550,1207,731,554,266,118,108,353,946,1054,1181,25,2019,Montana,MT
1222,1099,1041,810,493,267,112,78,279,783,975,1141,25,2020,Montana,MT
1186,1368,928,766,549,124,24,125,279,642,871,1341,25,2021,Montana,MT
1263,1174,971,924,578,275,55,46,217,574,1270,1474,25,2022,Montana,MT
1293,1166,1239,798,334,241,72,87,282,703,931,1058,25,2023,Montana,MT
1407,1036,1033,692,566,254,50,106,217,553,1022,1080,25,2024,Montana,MT
1394,1351,884,727,418,221,80,88,201,687,862,1079,25,2025,Montana,MT
1387,1002,741,625,291,26,9,21,83,369,893,1104,25,1997,Nebraska,NE
1221,819,1027,473,121,60,7,9,34,340,689,1076,25,1998,Nebraska,NE
1268,800,802,461,199,52,1,19,145,390,567,1025,25,1999,Nebraska,NE
1142,825,682,440,130,39,9,4,82,318,1036,1507,25,2000,Nebraska,NE
1202,1223,925,369,165,35,1,9,111,391,533,1035,25,2001,Nebraska,NE
1085,952,1031,407,255,9,0,11,84,575,828,1022,25,2002,Nebraska,NE
1241,1122,792,394,240,57,6,5,154,316,859,1059,25,2003,Nebraska,NE
1329,1126,662,386,165,66,20,37,52,354,731,1072,25,2004,Nebraska,NE
1348,861,765,377,198,21,5,12,46,352,693,1246,25,2005,Nebraska,NE
870,1000,829,310,150,17,1,12,172,479,780,1027,25,2006,Nebraska,NE
1317,1191,597,499,125,31,6,4,90,306,754,1331,25,2007,Nebraska,NE
1373,1132,850,580,244,37,8,18,121,405,773,1355,25,2008,Nebraska,NE
1279,942,833,516,180,46,30,30,133,638,638,1421,25,2009,Nebraska,NE
1437,1209,773,328,234,25,8,6,98,312,802,1241,25,2010,Nebraska,NE
1443,1099,838,465,224,34,0,11,168,334,770,1111,25,2011,Nebraska,NE
1062,989,404,306,113,14,0,13,104,485,723,1143,25,2012,Nebraska,NE
1235,1010,954,615,210,33,13,10,45,430,848,1315,25,2013,Nebraska,NE
1296,1224,921,448,187,33,26,15,119,344,970,1111,25,2014,Nebraska,NE
1176,1179,699,390,233,29,12,24,41,300,663,1034,25,2015,Nebraska,NE
1249,868,617,390,217,10,10,15,71,287,585,1238,25,2016,Nebraska,NE
1216,797,714,417,218,19,5,37,70,377,760,1177,25,2017,Nebraska,NE
1335,1205,796,687,94,13,12,18,71,502,958,1125,25,2018,Nebraska,NE
1235,1345,998,416,281,35,8,17,34,565,871,1058,25,2019,Nebraska,NE
1212,978,717,513,246,10,7,10,122,523,642,1069,25,2020,Nebraska,NE
1119,1398,639,460,207,13,10,8,52,320,657,942,25,2021,Nebraska,NE
